player,nation,pos,squad,born,90s,cmp_total,att_total,cmp_perc_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_perc_short,cmp_medium,att_medium,cmp_perc_medium,cmp_long,att_long,cmp_perc_long,ast,ppa,crs_pa,prog,year,league 
Jorge Molina,es ESP,FW,Getafe,1982,21,401,600,66.8,5873,1621,239,333,71.8,122,169,72.2,25,42,59.5,3,19,4,54,2019,Spanish
Jon Moncayola,es ESP,"MF,DF",Osasuna,1998,16.6,504,656,76.8,10702,2567,175,204,85.8,217,269,80.7,100,155,64.5,0,6,1,40,2019,Spanish
Nacho Monreal,es ESP,DF,Real Sociedad,1986,26.6,1136,1381,82.3,19055,7416,522,573,91.1,531,616,86.2,67,140,47.9,0,25,12,84,2019,Spanish
Joan Monterde Raygal,es ESP,MF,Levante,1997,0.1,6,6,100,62,0,5,5,100,1,1,100,0,0,,0,0,0,0,2019,Spanish
Ángel Montoro,es ESP,MF,Granada,1988,10.8,441,580,76,10564,3149,139,159,87.4,171,198,86.4,126,209,60.3,5,11,1,55,2019,Spanish
Álvaro Morata,es ESP,FW,Atlético Madrid,1992,23.3,335,501,66.9,4502,920,194,280,69.3,98,140,70,13,27,48.1,2,16,1,29,2019,Spanish
Alberto Moreno,es ESP,DF,Villarreal,1992,16.3,841,981,85.7,15013,5033,353,382,92.4,394,436,90.4,76,126,60.3,0,16,7,54,2019,Spanish
Álex Moreno,es ESP,DF,Betis,1993,25.2,1009,1285,78.5,16430,5158,527,590,89.3,374,453,82.6,75,159,47.2,4,28,13,70,2019,Spanish
Gerard Moreno,es ESP,"FW,MF",Villarreal,1992,30.5,743,1027,72.3,14410,3333,337,417,80.8,262,346,75.7,126,201,62.7,5,41,13,89,2019,Spanish
Manu Morlanes,es ESP,"MF,FW",Villarreal,1999,2.8,177,192,92.2,3360,991,66,68,97.1,90,96,93.8,18,24,75,1,5,0,19,2019,Spanish
Loren Morón,es ESP,FW,Betis,1993,22.6,217,309,70.2,3206,890,131,167,78.4,45,67,67.2,23,37,62.2,3,8,1,29,2019,Spanish
Toni Moya,es ESP,MF,Atlético Madrid,1998,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,,2019,Spanish
Javi Moyano,es ESP,DF,Valladolid,1986,24.7,777,1057,73.5,13386,5674,386,438,88.1,305,403,75.7,74,171,43.3,0,9,4,67,2019,Spanish
Iker Muniain,es ESP,"FW,MF",Athletic Club,1992,26.5,903,1093,82.6,15259,3542,458,505,90.7,315,371,84.9,102,166,61.4,2,25,5,75,2019,Spanish
Aihen Muñoz,es ESP,DF,Real Sociedad,1997,10.9,508,656,77.4,8852,2978,216,243,88.9,249,299,83.3,35,94,37.2,0,10,8,26,2019,Spanish
Javier Muñoz,es ESP,MF,Alavés,1995,0.6,14,18,77.8,235,15,5,7,71.4,8,9,88.9,1,2,50,0,0,0,0,2019,Spanish
Jeison Murillo,co COL,DF,Celta Vigo,1992,17,618,700,88.3,13926,3906,139,148,93.9,357,373,95.7,119,170,70,0,1,0,28,2019,Spanish
Nacho,es ESP,DF,Real Madrid,1990,4.9,253,293,86.3,4173,1636,124,135,91.9,103,111,92.8,20,35,57.1,0,3,3,14,2019,Spanish
Nacho,es ESP,DF,Valladolid,1989,21,822,1134,72.5,16428,7559,329,370,88.9,356,449,79.3,129,271,47.6,2,27,8,87,2019,Spanish
Naldo,br BRA,DF,Espanyol,1988,14.8,551,658,83.7,12676,4021,105,119,88.2,323,355,91,114,169,67.5,1,3,0,40,2019,Spanish
Marc Navarro,es ESP,DF,Leganés,1995,2.4,55,79,69.6,799,322,35,39,89.7,16,23,69.6,3,12,25,0,0,0,7,2019,Spanish
Ximo Navarro,es ESP,DF,Alavés,1990,21.1,643,848,75.8,12140,4758,263,304,86.5,293,363,80.7,72,148,48.6,0,3,1,50,2019,Spanish
Jesús Navas,es ESP,DF,Sevilla,1985,37.4,2077,2652,78.3,38905,12446,910,1021,89.1,890,1093,81.4,252,429,58.7,7,105,40,249,2019,Spanish
Raúl Navas,es ESP,DF,Osasuna,1988,7.9,218,271,80.4,5168,1903,53,57,93,113,126,89.7,51,84,60.7,0,1,0,13,2019,Spanish
Neto,br BRA,GK,Barcelona,1989,2,55,62,88.7,1175,662,18,18,100,30,30,100,7,13,53.8,0,0,0,0,2019,Spanish
Carlos Neva,es ESP,DF,Granada,1996,24.5,624,901,69.3,11353,4810,269,304,88.5,280,371,75.5,64,163,39.3,1,12,10,57,2019,Spanish
Saúl Ñíguez,es ESP,"MF,DF",Atlético Madrid,1994,34.1,1376,1732,79.4,24196,8563,660,777,84.9,539,660,81.7,144,217,66.4,0,23,3,163,2019,Spanish
Fernando Niño,es ESP,FW,Villarreal,2000,0.9,13,21,61.9,133,9,9,12,75,2,7,28.6,0,0,,0,0,0,0,2019,Spanish
Nolito,es ESP,"FW,MF",Celta Vigo,1986,3.6,115,164,70.1,2321,781,47,60,78.3,47,63,74.6,19,34,55.9,1,10,0,21,2019,Spanish
Nolito,es ESP,FW,Sevilla,1986,10,263,345,76.2,4819,1623,127,155,81.9,103,130,79.2,30,46,65.2,0,22,4,47,2019,Spanish
Unai Núñez,es ESP,DF,Athletic Club,1997,17.5,587,682,86.1,15000,4488,108,127,85,300,314,95.5,177,234,75.6,0,1,0,38,2019,Spanish
Allan Nyom,cm CMR,"DF,MF",Getafe,1988,26.9,587,922,63.7,10640,4745,278,337,82.5,232,339,68.4,71,207,34.3,0,19,14,54,2019,Spanish
Jan Oblak,si SVN,GK,Atlético Madrid,1993,37.7,558,960,58.1,22101,16430,64,65,98.5,167,171,97.7,324,720,45,0,1,0,1,2019,Spanish
Rafael Obrador,es ESP,DF,Mallorca,2004,0,1,2,50,16,14,0,0,,1,2,50,0,0,,0,0,0,1,2019,Spanish
Lucas Ocampos,ar ARG,FW,Sevilla,1994,30.5,728,972,74.9,11575,2831,412,478,86.2,214,282,75.9,70,121,57.9,3,30,9,75,2019,Spanish
Álvaro Odriozola,es ESP,DF,Real Madrid,1995,3.8,153,176,86.9,2599,863,78,85,91.8,55,64,85.9,17,19,89.5,1,4,1,7,2019,Spanish
Lucas Olaza,uy URU,DF,Celta Vigo,1994,34.9,1496,2012,74.4,27541,13469,650,712,91.3,661,803,82.3,167,418,40,3,36,18,138,2019,Spanish
Oier Olazábal,es ESP,GK,Espanyol,1989,2,50,62,80.6,1440,760,5,5,100,28,28,100,17,29,58.6,0,0,0,0,2019,Spanish
Kiko Olivas,es ESP,DF,Valladolid,1988,32.7,1107,1271,87.1,22859,7049,385,409,94.1,525,565,92.9,188,272,69.1,0,1,0,59,2019,Spanish
Paulo Oliveira,pt POR,DF,Eibar,1992,23.2,545,788,69.2,14767,5025,91,114,79.8,259,319,81.2,193,339,56.9,0,4,0,65,2019,Spanish
Mathías Olivera,uy URU,DF,Getafe,1997,20.8,544,894,60.9,9300,5146,275,354,77.7,212,329,64.4,45,149,30.2,1,13,9,75,2019,Spanish
Kenneth Omeruo,ng NGA,DF,Leganés,1993,20.8,445,601,74,11005,3878,107,133,80.5,197,242,81.4,136,216,63,0,1,1,26,2019,Spanish
Javier Ontiveros,es ESP,"FW,MF",Villarreal,1997,9.9,368,479,76.8,6131,1575,201,227,88.5,131,157,83.4,31,66,47,1,12,5,35,2019,Spanish
Fabián Orellana,cl CHI,"MF,FW",Eibar,1986,26.6,771,1062,72.6,13988,3300,386,456,84.6,268,353,75.9,103,191,53.9,7,32,10,78,2019,Spanish
Aimar Oroz,es ESP,FW,Osasuna,2001,0.1,5,5,100,85,38,3,3,100,1,1,100,1,1,100,0,0,0,0,2019,Spanish
Mikel Oyarzabal,es ESP,"FW,MF",Real Sociedad,1997,33.9,828,1154,71.8,13741,3481,428,527,81.2,288,383,75.2,81,146,55.5,11,45,11,94,2019,Spanish
Fernando Pacheco,es ESP,GK,Alavés,1992,26.2,471,814,57.9,21223,16380,38,40,95,97,106,91.5,335,666,50.3,0,2,0,0,2019,Spanish
Jon Pacheco,es ESP,DF,Real Sociedad,2001,0.9,27,36,75,552,174,12,14,85.7,10,11,90.9,5,9,55.6,0,0,0,2,2019,Spanish
Daniel Parejo,es ESP,MF,Valencia,1989,33.6,1980,2398,82.6,43908,14576,659,726,90.8,850,965,88.1,443,646,68.6,3,30,4,251,2019,Spanish
Miquel Parera,es ESP,GK,Mallorca,1996,1,15,26,57.7,457,317,3,3,100,5,5,100,7,18,38.9,0,0,0,0,2019,Spanish
Thomas Partey,gh GHA,MF,Atlético Madrid,1993,28.3,1414,1704,83,26582,8532,620,688,90.1,557,637,87.4,199,319,62.4,0,21,1,178,2019,Spanish
Paulino,es ESP,MF,Alavés,1997,0.8,16,29,55.2,345,69,9,14,64.3,4,6,66.7,3,9,33.3,0,0,0,2,2019,Spanish
Gabriel Paulista,br BRA,DF,Valencia,1990,31.1,1520,1708,89,33511,10621,431,464,92.9,784,828,94.7,291,387,75.2,1,2,0,61,2019,Spanish
Alfonso Pedraza,es ESP,DF,Betis,1996,15,595,770,77.3,10210,4070,291,329,88.4,250,298,83.9,46,98,46.9,0,14,4,61,2019,Spanish
Marc Pedraza,es ESP,MF,Mallorca,1987,1.4,27,33,81.8,414,136,16,18,88.9,8,11,72.7,2,2,100,0,0,0,2,2019,Spanish
Pedrosa,es ESP,"DF,MF",Espanyol,1998,12.1,376,492,76.4,6801,2108,161,176,91.5,177,218,81.2,32,73,43.8,0,12,5,28,2019,Spanish
Rubén Peña,es ESP,DF,Villarreal,1991,21.2,1027,1313,78.2,19122,7450,422,471,89.6,472,564,83.7,118,218,54.1,2,21,11,85,2019,Spanish
Luis Perea,es ESP,"FW,MF",Osasuna,1997,0.2,7,7,100,73,7,3,3,100,2,2,100,0,0,,0,0,0,0,2019,Spanish
Victor Perea,es ESP,DF,Espanyol,2000,14.1,507,696,72.8,9338,3227,219,255,85.9,215,274,78.5,64,125,51.2,0,22,13,41,2019,Spanish
Gonzalo Pereira Cejudo,es ESP,DF,Levante,1997,0.1,5,5,100,117,9,1,1,100,3,3,100,1,1,100,0,0,0,0,2019,Spanish
Carles Pérez,es ESP,FW,Barcelona,1998,5.3,232,287,80.8,3236,641,153,176,86.9,65,78,83.3,8,20,40,2,7,1,19,2019,Spanish
Iñigo Pérez,es ESP,MF,Osasuna,1988,12,444,598,74.2,8208,2842,191,221,86.4,189,236,80.1,54,118,45.8,1,7,0,53,2019,Spanish
Juan Pérez,es ESP,GK,Osasuna,1996,2,36,66,54.5,1561,1174,6,6,100,6,7,85.7,24,53,45.3,0,0,0,0,2019,Spanish
Kike Pérez,es ESP,"MF,FW",Valladolid,1997,2.4,85,98,86.7,1569,369,41,42,97.6,28,32,87.5,15,20,75,0,0,0,9,2019,Spanish
Lucas Pérez,es ESP,FW,Alavés,1988,27.7,448,705,63.5,8354,2767,199,267,74.5,169,231,73.2,61,165,37,5,27,4,66,2019,Spanish
Rubén Pérez,es ESP,MF,Leganés,1989,24.4,895,1142,78.4,17933,5556,336,401,83.8,406,484,83.9,136,212,64.2,1,9,0,98,2019,Spanish
Samuel Pérez,es ESP,GK,Valladolid,1997,0.3,2,7,28.6,128,116,0,0,,0,0,,2,7,28.6,0,0,0,0,2019,Spanish
Pablo Piatti,ar ARG,"DF,MF",Espanyol,1989,0.6,21,29,72.4,330,54,10,10,100,11,11,100,0,8,0,0,0,0,2,2019,Spanish
Cristiano Piccini,it ITA,DF,Valencia,1992,0.8,41,51,80.4,764,259,15,15,100,20,21,95.2,5,14,35.7,0,2,1,3,2019,Spanish
Tomás Pina Isla,es ESP,MF,Alavés,1987,14.9,419,525,79.8,7166,1941,187,220,85,182,215,84.7,37,59,62.7,0,3,0,42,2019,Spanish
Pipa,es ESP,DF,Espanyol,1998,5.3,153,218,70.2,2887,899,62,73,84.9,75,101,74.3,14,35,40,0,4,2,9,2019,Spanish
Gerard Piqué,es ESP,DF,Barcelona,1987,34.4,2469,2659,92.9,53752,14795,645,682,94.6,1381,1437,96.1,427,506,84.4,0,3,0,116,2019,Spanish
Óscar Plano,es ESP,MF,Valladolid,1991,27.8,529,740,71.5,9408,2499,250,317,78.9,201,262,76.7,65,122,53.3,2,18,6,49,2019,Spanish
Pere Pons,es ESP,MF,Alavés,1993,12.1,280,378,74.1,4900,1105,143,172,83.1,97,127,76.4,33,58,56.9,1,4,1,17,2019,Spanish
Pedro Porro,es ESP,"DF,MF",Valladolid,1999,8.2,239,369,64.8,4291,1834,123,145,84.8,77,107,72,34,85,40,0,7,3,18,2019,Spanish
Francisco Portillo,es ESP,MF,Getafe,1990,4.2,120,167,71.9,1935,741,58,74,78.4,48,61,78.7,9,19,47.4,2,11,2,24,2019,Spanish
Portu,es ESP,"FW,MF",Real Sociedad,1992,26.6,456,664,68.7,7044,2195,258,316,81.6,144,207,69.6,37,89,41.6,7,34,17,51,2019,Spanish
Sergio Postigo,es ESP,DF,Levante,1988,26.4,842,1017,82.8,18924,7241,239,260,91.9,410,448,91.5,185,289,64,1,7,0,70,2019,Spanish
Florent Poulolo,fr FRA,"MF,DF",Getafe,1997,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,,2019,Spanish
Darío Poveda,es ESP,FW,Atlético Madrid,1997,0.1,3,4,75,30,0,2,2,100,1,2,50,0,0,,0,0,0,0,2019,Spanish
Alejandro Pozo Pozo,es ESP,DF,Mallorca,1999,16.6,647,856,75.6,11243,4434,314,356,88.2,257,337,76.3,65,132,49.2,2,17,10,41,2019,Spanish
Alejandro Pozo Pozo,es ESP,"FW,MF",Sevilla,1999,0.4,10,14,71.4,151,46,5,6,83.3,4,6,66.7,1,1,100,0,0,0,2,2019,Spanish
Abdón Prats,es ESP,"FW,MF",Mallorca,1992,3.1,46,73,63,755,145,28,33,84.8,9,18,50,7,12,58.3,0,0,0,5,2019,Spanish
Antonio Puertas,es ESP,"FW,MF",Granada,1992,28.5,538,768,70.1,8380,1885,310,392,79.1,165,226,73,44,85,51.8,3,12,6,40,2019,Spanish
Riqui Puig,es ESP,MF,Barcelona,1999,5.7,394,433,91,6796,1044,189,205,92.2,144,154,93.5,48,53,90.6,2,8,0,20,2019,Spanish
Quini,es ESP,DF,Granada,1989,8,230,298,77.2,3953,1331,115,127,90.6,83,99,83.8,25,51,49,0,3,2,18,2019,Spanish
Xavi Quintillà,es ESP,DF,Villarreal,1996,17.5,850,1040,81.7,14119,4752,451,486,92.8,312,370,84.3,64,141,45.4,2,17,9,44,2019,Spanish
Quique,es ESP,FW,Eibar,1990,5.4,88,124,71,1345,275,47,61,77,30,45,66.7,6,10,60,1,3,1,8,2019,Spanish
Nemanja Radoja,rs SRB,MF,Levante,1993,22.1,838,949,88.3,15935,3588,358,396,90.4,351,374,93.9,117,150,78,0,8,2,72,2019,Spanish
Rafinha,br BRA,"FW,MF",Barcelona,1993,2.1,142,164,86.6,2279,362,87,93,93.5,36,41,87.8,17,25,68,0,6,2,8,2019,Spanish
Rafinha,br BRA,MF,Celta Vigo,1993,23.5,1138,1317,86.4,19331,4441,550,612,89.9,430,470,91.5,123,168,73.2,1,28,1,106,2019,Spanish
Baba Rahman,gh GHA,DF,Mallorca,1994,1.2,42,60,70,773,302,21,26,80.8,16,20,80,5,13,38.5,0,1,0,3,2019,Spanish
Antonio Raillo,es ESP,DF,Mallorca,1991,30.8,959,1155,83,21239,7384,274,303,90.4,469,524,89.5,205,308,66.6,0,2,0,43,2019,Spanish
Ivan Rakiti_,hr CRO,MF,Barcelona,1988,17.7,1322,1485,89,22986,5160,613,674,90.9,524,566,92.6,140,181,77.3,3,20,0,76,2019,Spanish
Sandro Ramírez,es ESP,"FW,MF",Valladolid,1995,14.5,273,376,72.6,4748,880,133,160,83.1,99,135,73.3,32,60,53.3,1,9,4,20,2019,Spanish
Iván Ramis,es ESP,DF,Eibar,1984,5.1,166,198,83.8,4222,1004,31,32,96.9,84,92,91.3,50,73,68.5,0,0,0,8,2019,Spanish
Adrián Ramos,co COL,FW,Granada,1986,2.5,49,75,65.3,735,209,25,39,64.1,17,23,73.9,4,6,66.7,0,2,0,8,2019,Spanish
Sergio Ramos,es ESP,DF,Real Madrid,1986,33.5,1963,2144,91.6,44819,15381,573,613,93.5,924,969,95.4,442,517,85.5,0,8,1,115,2019,Spanish
Raúl,es ESP,"FW,MF",Betis,2000,0.2,4,7,57.1,53,5,3,6,50,1,1,100,0,0,,0,0,0,0,2019,Spanish
Recio,es ESP,MF,Leganés,1991,17.4,744,860,86.5,12597,2897,391,419,93.3,263,291,90.4,73,115,63.5,0,7,3,54,2019,Spanish
Sergio Reguilón,es ESP,DF,Sevilla,1996,27.9,1426,1790,79.7,25325,9429,647,721,89.7,626,765,81.8,129,233,55.4,4,39,21,115,2019,Spanish
Manolo Reina,es ESP,GK,Mallorca,1985,36,741,1194,62.1,25285,18867,129,129,100,296,298,99.3,312,761,41,0,0,0,1,2019,Spanish
Álex Remiro,es ESP,GK,Real Sociedad,1995,25,683,910,75.1,21052,12281,84,84,100,357,362,98.6,241,462,52.2,0,0,0,0,2019,Spanish
Nico Ribaudo,es ESP,"FW,MF",Espanyol,2001,2,55,73,75.3,933,236,28,37,75.7,21,23,91.3,6,9,66.7,0,4,1,4,2019,Spanish
Luis Rioja,es ESP,MF,Alavés,1993,18.2,306,436,70.2,4430,1448,183,215,85.1,106,135,78.5,10,52,19.2,0,13,5,30,2019,Spanish
Rodrigo Riquelme,es ESP,MF,Atlético Madrid,2000,0.1,1,3,33.3,21,20,0,0,,1,2,50,0,1,0,0,0,0,1,2019,Spanish
Cristian Rivera,es ESP,MF,Leganés,1997,3.5,114,132,86.4,2073,588,56,63,88.9,45,50,90,13,18,72.2,0,1,1,7,2019,Spanish
Rober,es ESP,DF,Levante,1995,2.1,80,93,86,1796,756,28,31,90.3,31,33,93.9,21,28,75,0,0,0,3,2019,Spanish
Roberto,es ESP,GK,Alavés,1986,8.8,122,238,51.3,6545,5534,11,11,100,17,17,100,94,209,45,0,1,0,0,2019,Spanish
Sergi Roberto,es ESP,"DF,MF",Barcelona,1992,26,1964,2132,92.1,30596,7156,1051,1108,94.9,762,812,93.8,105,131,80.2,2,40,4,120,2019,Spanish
Joel Robles,es ESP,GK,Betis,1990,32.1,847,1152,73.5,23766,13254,178,179,99.4,386,389,99.2,278,579,48,0,1,0,0,2019,Spanish
Marc Roca,es ESP,MF,Espanyol,1996,33.4,1389,1731,80.2,29813,9464,468,530,88.3,632,742,85.2,263,404,65.1,1,23,5,215,2019,Spanish
Rubén Rochina,es ESP,MF,Levante,1991,20.8,700,967,72.4,14542,4760,326,377,86.5,224,279,80.3,144,285,50.5,3,24,10,95,2019,Spanish
Rodrigo,es ESP,FW,Valencia,1991,20.9,479,632,75.8,8440,1685,244,293,83.3,166,217,76.5,57,96,59.4,7,26,7,52,2019,Spanish
Kévin Rodrigues,pt POR,"DF,MF",Leganés,1994,21.5,522,789,66.2,9635,4127,244,285,85.6,203,269,75.5,65,187,34.8,2,21,10,54,2019,Spanish
Kévin Rodrigues,pt POR,DF,Real Sociedad,1994,0.1,4,7,57.1,75,18,1,1,100,3,4,75,0,0,,0,0,0,1,2019,Spanish
Óscar Rodríguez Arnaiz,es ESP,"MF,FW",Leganés,1998,21.3,548,804,68.2,9893,2754,280,338,82.8,170,233,73,79,181,43.6,2,21,8,56,2019,Spanish
Ángel Rodríguez,es ESP,FW,Getafe,1987,15.6,197,315,62.5,3209,670,103,145,71,65,107,60.7,21,41,51.2,3,8,3,14,2019,Spanish
Dani Rodríguez,es ESP,"MF,FW",Mallorca,1988,33.8,945,1161,81.4,17014,4376,437,491,89,345,400,86.3,123,198,62.1,2,25,6,93,2019,Spanish
Guido Rodríguez,ar ARG,MF,Betis,1994,10.4,443,515,86,8802,2061,192,222,86.5,168,182,92.3,78,96,81.3,0,5,1,33,2019,Spanish
James Rodríguez,co COL,MF,Real Madrid,1991,4.7,239,305,78.4,4540,1136,112,129,86.8,79,86,91.9,38,72,52.8,1,11,0,26,2019,Spanish
Mario Rodriguez,es ESP,FW,Granada,1997,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,,2019,Spanish
Rodrygo,br BRA,FW,Real Madrid,2001,11.3,430,511,84.1,5826,1718,290,309,93.9,114,146,78.1,17,31,54.8,0,22,8,45,2019,Spanish
Luka Romero,ar ARG,MF,Mallorca,2004,0.1,1,1,100,24,0,0,0,,1,1,100,0,0,,0,0,0,0,2019,Spanish
Facundo Roncaglia,ar ARG,DF,Osasuna,1987,14.2,452,585,77.3,10262,4310,133,151,88.1,216,265,81.5,99,156,63.5,0,5,0,50,2019,Spanish
Roberto Rosales,ve VEN,DF,Leganés,1988,20.8,634,920,68.9,11645,5208,292,339,86.1,247,321,76.9,82,211,38.9,1,17,9,61,2019,Spanish
Rubén,es ESP,GK,Osasuna,1984,17.6,269,525,51.2,11889,9004,20,20,100,60,61,98.4,189,444,42.6,0,0,0,0,2019,Spanish
Waldo Rubio,es ESP,"MF,FW",Valladolid,1995,9.8,188,299,62.9,3410,1044,98,122,80.3,61,89,68.5,27,62,43.5,2,8,5,16,2019,Spanish
Aitor Ruibal,es ESP,"DF,FW",Leganés,1996,13.6,306,414,73.9,4825,1624,163,191,85.3,112,142,78.9,20,54,37,0,9,3,37,2019,Spanish
Jorge Sáenz,es ESP,"DF,FW",Celta Vigo,1996,4.1,136,168,81,3402,961,35,39,89.7,61,69,88.4,40,58,69,0,0,0,2,2019,Spanish
Borja Sainz,es ESP,"MF,FW",Alavés,2001,6.4,94,130,72.3,1468,433,52,59,88.1,31,38,81.6,6,18,33.3,0,5,2,10,2019,Spanish
Yannis Salibur,fr FRA,"MF,FW",Mallorca,1991,0.9,36,42,85.7,465,155,23,26,88.5,12,13,92.3,0,2,0,0,3,0,3,2019,Spanish
Mohammed Salisu,gh GHA,DF,Valladolid,1999,30.3,890,1056,84.3,19255,6699,227,254,89.4,508,546,93,149,239,62.3,1,1,1,49,2019,Spanish
Fede San Emeterio,es ESP,MF,Valladolid,1997,19.5,558,683,81.7,10576,2518,232,268,86.6,233,268,86.9,81,120,67.5,0,1,0,40,2019,Spanish
Mikel San José,es ESP,MF,Athletic Club,1989,4,93,125,74.4,1683,490,43,53,81.1,39,52,75,8,13,61.5,0,2,0,6,2019,Spanish
Oihan Sancet,es ESP,MF,Athletic Club,2000,8.2,168,208,80.8,2926,477,82,97,84.5,64,76,84.2,18,24,75,1,0,0,12,2019,Spanish
Germán Sánchez,es ESP,DF,Granada,1986,25.5,738,901,81.9,18350,5061,128,159,80.5,404,447,90.4,203,288,70.5,0,2,0,38,2019,Spanish
Javi Sánchez,es ESP,DF,Valladolid,1997,5.5,157,197,79.7,3629,871,32,42,76.2,88,97,90.7,35,55,63.6,1,0,0,5,2019,Spanish
Manuel Sánchez,es ESP,DF,Atlético Madrid,2000,3.6,135,173,78,2207,645,61,72,84.7,62,73,84.9,7,19,36.8,0,5,3,12,2019,Spanish
Víctor Sánchez,es ESP,"MF,DF",Espanyol,1987,18.8,739,960,77,13923,4134,325,377,86.2,277,335,82.7,117,209,56,1,12,6,65,2019,Spanish
Luca Sangalli,es ESP,MF,Real Sociedad,1995,4.1,138,187,73.8,2296,729,64,86,74.4,58,67,86.6,12,23,52.2,1,5,2,20,2019,Spanish
Oier Sanjurjo,es ESP,MF,Osasuna,1986,25.8,734,1009,72.7,13914,4352,300,373,80.4,317,410,77.3,108,178,60.7,1,9,3,101,2019,Spanish
Ivan _aponji_,rs SRB,"FW,DF",Atlético Madrid,1997,0.1,0,2,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,2019,Spanish
Joan Sastre Vanrell,es ESP,DF,Mallorca,1997,15.1,458,669,68.5,9443,4380,175,205,85.4,190,279,68.1,87,158,55.1,2,28,15,55,2019,Spanish
Stefan Savi_,me MNE,DF,Atlético Madrid,1991,22,864,1036,83.4,18915,6717,242,254,95.3,444,491,90.4,170,276,61.6,0,4,0,64,2019,Spanish
Aleksandar Sedlar,rs SRB,DF,Mallorca,1991,9,325,399,81.5,6705,2839,115,126,91.3,151,178,84.8,56,84,66.7,0,0,0,13,2019,Spanish
Nélson Semedo,pt POR,DF,Barcelona,1993,23.3,1487,1663,89.4,23095,5895,865,917,94.3,496,562,88.3,101,122,82.8,2,23,2,87,2019,Spanish
Josep Señé,es ESP,MF,Mallorca,1991,1.7,77,83,92.8,1444,310,30,31,96.8,37,39,94.9,10,13,76.9,0,1,1,6,2019,Spanish
Salva Sevilla,es ESP,MF,Mallorca,1984,28.5,1446,1745,82.9,25781,8606,705,771,91.4,501,564,88.8,196,344,57,3,15,0,154,2019,Spanish
Sidnei,br BRA,DF,Betis,1989,13.1,778,855,91,15845,4146,266,288,92.4,380,399,95.2,117,150,78,0,3,0,28,2019,Spanish
Jonathan Silva,ar ARG,DF,Leganés,1994,30.9,942,1365,69,17844,9563,423,485,87.2,361,491,73.5,140,324,43.2,2,37,25,110,2019,Spanish
Rui Silva,pt POR,GK,Granada,1994,35,716,1279,56,29300,21313,89,91,97.8,222,225,98.7,403,961,41.9,0,0,0,0,2019,Spanish
Unai Simón,es ESP,GK,Athletic Club,1997,33.2,650,1107,58.7,27262,20020,40,40,100,218,222,98.2,391,841,46.5,0,0,0,0,2019,Spanish
Dimitris Siovas,gr GRE,DF,Leganés,1988,21.3,594,834,71.2,13580,5328,168,199,84.4,279,340,82.1,140,269,52,0,3,1,54,2019,Spanish
Pione Sisto,dk DEN,"FW,MF",Celta Vigo,1995,9.9,348,445,78.2,5737,1104,183,206,88.8,118,144,81.9,32,62,51.6,0,8,1,20,2019,Spanish
Antonio Sivera,es ESP,GK,Alavés,1996,3,43,83,51.8,1980,1621,7,7,100,11,11,100,25,65,38.5,0,0,0,0,2019,Spanish
Fyodor Smolov,ru RUS,FW,Celta Vigo,1990,8.3,135,196,68.9,1646,282,92,116,79.3,32,51,62.7,3,11,27.3,0,2,0,7,2019,Spanish
Rafa Soares,pt POR,"DF,MF",Eibar,1995,4.8,154,219,70.3,2959,1489,66,78,84.6,67,83,80.7,21,51,41.2,0,8,5,18,2019,Spanish
Antonio Adán,es ESP,GK,Atlético Madrid,1987,1,12,24,50,369,247,1,1,100,6,6,100,5,17,29.4,0,0,0,0,2018,Spanish
Aday,es ESP,"DF,MF",Girona,1987,7.2,230,325,70.8,4875,1724,81,91,89,97,126,77,46,94,48.9,2,10,10,12,2018,Spanish
Aritz Aduriz,es ESP,FW,Athletic Club,1981,10.5,149,237,62.9,2052,331,92,135,68.1,44,74,59.5,7,17,41.2,0,3,1,8,2018,Spanish
Luis Advíncula,pe PER,DF,Rayo Vallecano,1990,26.5,980,1204,81.4,17749,6575,464,506,91.7,413,487,84.8,96,172,55.8,3,24,13,70,2018,Spanish
Martin Agirregabiria,es ESP,DF,Alavés,1996,22.6,673,968,69.5,11708,5682,311,366,85,301,410,73.4,56,159,35.2,0,14,5,92,2018,Spanish
Juan Aguilera,es ESP,MF,Huesca,1985,3.8,163,185,88.1,2694,771,87,95,91.6,65,73,89,11,17,64.7,0,3,1,11,2018,Spanish
Carlos Akapo,gq EQG,DF,Huesca,1993,11.4,346,442,78.3,5601,2530,184,210,87.6,124,166,74.7,31,47,66,0,5,0,25,2018,Spanish
Sergio Akieme,es ESP,DF,Rayo Vallecano,1997,2,70,89,78.7,1135,425,41,44,93.2,24,30,80,4,13,30.8,1,1,1,5,2018,Spanish
Jordi Alba,es ESP,DF,Barcelona,1989,33.2,2305,2686,85.8,36567,13309,1283,1393,92.1,856,986,86.8,145,233,62.2,8,60,18,213,2018,Spanish
Pedro Alcalá,es ESP,DF,Girona,1989,20.8,698,843,82.8,16867,5451,147,165,89.1,401,434,92.4,149,235,63.4,1,6,0,40,2018,Spanish
