player,nation,pos,squad,born,90s,cmp_total,att_total,cmp_perc_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_perc_short,cmp_medium,att_medium,cmp_perc_medium,cmp_long,att_long,cmp_perc_long,ast,ppa,crs_pa,prog,year,league 
Grischa Prömel,de GER,MF,Union Berlin,1995,3.7,136,167,81.4,2499,492,47,61,77,68,78,87.2,15,19,78.9,0,2,0,12,2020,Germany
Robin Quaison,se SWE,"FW,MF",Mainz 05,1993,4.5,55,95,57.9,892,284,33,46,71.7,13,22,59.1,7,16,43.8,1,3,0,5,2020,Germany
Benito Raman,be BEL,"FW,MF",Schalke 04,1994,2,25,40,62.5,484,146,11,15,73.3,9,14,64.3,5,6,83.3,0,1,0,3,2020,Germany
Milot Rashica,xk KVX,"FW,MF",Werder Bremen,1996,1.3,16,25,64,276,71,5,11,45.5,10,11,90.9,0,0,,0,0,0,2,2020,Germany
Daishawn Redan,nl NED,MF,Hertha BSC,2001,0.1,1,1,100,6,0,1,1,100,0,0,,0,0,,0,0,0,0,2020,Germany
Reinier,br BRA,"MF,FW",Dortmund,2002,0.5,14,16,87.5,166,40,8,9,88.9,4,5,80,0,0,,0,0,0,0,2020,Germany
Rocco Reitz,de GER,MF,M'Gladbach,2002,0.7,35,43,81.4,552,174,18,21,85.7,13,15,86.7,3,6,50,0,0,0,3,2020,Germany
Marco Reus,de GER,"FW,MF",Dortmund,1989,2.5,101,130,77.7,1589,372,62,71,87.3,25,32,78.1,12,18,66.7,1,4,1,9,2020,Germany
Elvis Rexhbeçaj,de GER,"MF,FW",Köln,1997,5,108,171,63.2,2030,685,48,59,81.4,44,58,75.9,14,43,32.6,0,3,1,18,2020,Germany
Giovanni Reyna,us USA,"FW,MF",Dortmund,2002,4.7,207,251,82.5,3084,674,125,140,89.3,56,68,82.4,16,25,64,3,7,0,14,2020,Germany
Chris Richards,us USA,DF,Bayern Munich,2000,0.9,72,80,90,1334,428,35,38,92.1,28,30,93.3,9,9,100,1,5,3,8,2020,Germany
Marco Richter,de GER,MF,Augsburg,1997,0.3,4,8,50,104,41,1,2,50,1,3,33.3,2,2,100,0,0,0,2,2020,Germany
Marc Roca,es ESP,FW,Bayern Munich,1996,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,2020,Germany
Sebastian Rode,de GER,MF,Eint Frankfurt,1990,5.8,304,353,86.1,5474,1532,142,157,90.4,129,145,89,32,44,72.7,0,6,0,31,2020,Germany
Jérôme Roussillon,fr FRA,DF,Wolfsburg,1993,4.6,172,233,73.8,3210,1171,75,91,82.4,70,92,76.1,22,38,57.9,0,2,1,13,2020,Germany
Sebastian Rudy,de GER,"DF,MF",Hoffenheim,1990,3,117,153,76.5,1724,502,69,76,90.8,37,45,82.2,7,19,36.8,1,4,1,7,2020,Germany
Sebastian Rudy,de GER,DF,Schalke 04,1990,2,91,136,66.9,1561,840,45,59,76.3,31,41,75.6,12,22,54.5,0,5,1,10,2020,Germany
Julian Ryerson,no NOR,DF,Union Berlin,1997,1.5,39,57,68.4,767,229,18,25,72,13,19,68.4,7,10,70,0,1,1,2,2020,Germany
Frederik Rønnow,dk DEN,GK,Schalke 04,1992,3.5,97,123,78.9,2816,1724,21,21,100,40,41,97.6,35,60,58.3,0,0,0,0,2020,Germany
João Victor Santos Sá,br BRA,"FW,MF",Wolfsburg,1994,1.9,46,62,74.2,626,132,29,36,80.6,11,15,73.3,3,3,100,0,1,0,3,2020,Germany
Marcel Sabitzer,at AUT,"MF,DF",RB Leipzig,1994,1.2,58,69,84.1,969,365,30,33,90.9,23,25,92,4,8,50,0,5,1,10,2020,Germany
Roland Sallai,hu HUN,"MF,FW",Freiburg,1997,4.8,83,129,64.3,1415,403,43,60,71.7,34,46,73.9,6,16,37.5,1,3,2,7,2020,Germany
Lazar Samardzic,de GER,MF,RB Leipzig,2002,0.8,21,26,80.8,318,110,10,11,90.9,9,10,90,0,1,0,0,0,0,0,2020,Germany
Diadie Samassékou,ml MLI,MF,Hoffenheim,1996,4.8,181,209,86.6,3458,834,71,81,87.7,85,94,90.4,25,30,83.3,0,1,0,13,2020,Germany
Jadon Sancho,eng ENG,FW,Dortmund,2000,4.2,234,288,81.3,3544,842,124,140,88.6,87,101,86.1,16,29,55.2,2,19,0,29,2020,Germany
Leroy Sané,de GER,FW,Bayern Munich,1996,2.5,60,83,72.3,958,187,38,46,82.6,12,16,75,7,12,58.3,2,4,0,4,2020,Germany
Salif Sané,sn SEN,DF,Schalke 04,1990,4.5,227,268,84.7,5125,1615,59,67,88.1,118,130,90.8,50,65,76.9,0,1,0,13,2020,Germany
