player,nation,pos,squad,born,90s,gls,sh,sot,sot_perc,sh_per_90,sot_per_90,g_per_Sh,g_per_sot,dist,fk,pk,pk_att,year,league
Ian Carlo Poveda,eng ENG,"MF,DF",Leeds United,2000,1.5,0,3,1,33.3,2,0.67,0,0,17,0,0,0,2020,English
Andy Carroll,eng ENG,FW,Newcastle Utd,1989,1.8,0,5,0,0,2.71,0,0,,14.2,0,0,0,2020,English
Matty Cash,eng ENG,DF,Aston Villa,1997,5.6,0,2,0,0,0.36,0,0,,23.7,0,0,0,2020,English
Timothy Castagne,be BEL,DF,Leicester City,1995,6,1,2,2,100,0.33,0.33,0.5,0.5,7.2,0,0,0,2020,English
Ivan Cavaleiro,pt POR,"FW,MF",Fulham,1993,4.8,0,4,0,0,0.83,0,0,,20,0,0,0,2020,English
Edinson Cavani,uy URU,FW,Manchester Utd,1987,0.5,0,2,0,0,3.67,0,0,,8.1,0,0,0,2020,English
Dani Ceballos,es ESP,MF,Arsenal,1996,4.4,0,0,0,,0,0,,,,0,0,0,2020,English
Ben Chilwell,eng ENG,DF,Chelsea,1996,4,1,3,2,66.7,0.75,0.5,0.33,0.5,16.4,0,0,0,2020,English
Hamza Choudhury,eng ENG,MF,Leicester City,1997,0.2,0,0,0,,0,0,,,,0,0,0,2020,English
Andreas Christensen,dk DEN,DF,Chelsea,1996,3.5,0,1,0,0,0.29,0,0,,8.3,0,0,0,2020,English
Nathaniel Clyne,eng ENG,DF,Crystal Palace,1991,1.8,0,1,0,0,0.56,0,0,,18.7,0,0,0,2020,English
Conor Coady,eng ENG,DF,Wolves,1993,7,0,0,0,,0,0,,,,0,0,0,2020,English
Séamus Coleman,ie IRL,DF,Everton,1988,4,0,2,2,100,0.5,0.5,0,0,25.6,0,0,0,2020,English
Aaron Connolly,ie IRL,FW,Brighton,2000,3.2,1,6,2,33.3,1.85,0.62,0.17,0.5,15.7,0,0,0,2020,English
Liam Cooper,sco SCO,DF,Leeds United,1991,4,0,1,0,0,0.25,0,0,,9,0,0,0,2020,English
Hélder Costa,pt POR,"MF,DF",Leeds United,1994,6.4,2,8,3,37.5,1.25,0.47,0.25,0.67,16,0,0,0,2020,English
Vladimír Coufal,cz CZE,DF,West Ham,1992,4,0,1,0,0,0.25,0,0,,13,0,0,0,2020,English
Aaron Cresswell,eng ENG,DF,West Ham,1989,7,0,1,0,0,0.14,0,0,,30.1,1,0,0,2020,English
Stuart Dallas,nir NIR,"DF,MF",Leeds United,1991,6.9,1,7,5,71.4,1.02,0.73,0.14,0.2,21.6,0,0,0,2020,English
Scott Dann,eng ENG,DF,Crystal Palace,1987,3,0,2,0,0,0.67,0,0,,8.2,0,0,0,2020,English
Karl Darlow,eng ENG,GK,Newcastle Utd,1990,8,0,0,0,,0,0,,,,0,0,0,2020,English
Ben Davies,wal WAL,DF,Tottenham,1993,4.3,0,1,0,0,0.23,0,0,,6.4,0,0,0,2020,English
Tom Davies,eng ENG,"MF,DF",Everton,1998,1,0,0,0,,0,0,,,,0,0,0,2020,English
Keinan Davis,eng ENG,FW,Aston Villa,1998,0.3,0,0,0,,0,0,,,,0,0,0,2020,English
Leif Davis,eng ENG,DF,Leeds United,2000,0.2,0,0,0,,0,0,,,,0,0,0,2020,English
Kevin De Bruyne,be BEL,MF,Manchester City,1991,4.3,1,14,5,35.7,3.29,1.17,0,0,22.7,5,1,1,2020,English
Liam Delap,eng ENG,FW,Manchester City,2003,0.4,0,1,0,0,2.25,0,0,,12,0,0,0,2020,English
Fabian Delph,eng ENG,"MF,DF",Everton,1989,1.7,0,1,0,0,0.58,0,0,,30.4,0,0,0,2020,English
Leander Dendoncker,be BEL,MF,Wolves,1995,5.1,0,5,1,20,0.97,0.19,0,0,17.8,0,0,0,2020,English
