player,nation,pos,squad,born,90s,gls,sh,sot,sot_perc,sh_per_90,sot_per_90,g_per_Sh,g_per_sot,dist,fk,pk,pk_att,year,league
Jamel Saihi,tn TUN,MF,Montpellier,1987,27.1,0,,1,,,0.04,,0,,,0,0,2011,French
Henri Saivet,sn SEN,"FW,MF",Bordeaux,1990,7.7,1,,5,,,0.65,,0.2,,,0,0,2011,French
Mamadou Sakho,fr FRA,DF,Paris S-G,1990,19.7,0,,3,,,0.15,,0,,,0,0,2011,French
Bakary Sako,ml MLI,MF,Saint-Étienne,1988,29.9,4,,26,,,0.87,,0.15,,,0,0,2011,French
Mamadou Samassa,ml MLI,FW,Valenciennes,1986,10.8,4,,12,,,1.11,,0.25,,,1,1,2011,French
Joël Sami,cd COD,DF,Nancy,1984,26.1,0,,2,,,0.08,,0,,,0,0,2011,French
Frédéric Sammaritano,fr FRA,"FW,MF",Ajaccio,1986,18.5,5,,14,,,0.76,,0.36,,,0,0,2011,French
Carlos Sánchez,co COL,MF,Valenciennes,1986,18.5,0,,6,,,0.33,,0,,,0,0,2011,French
Lamine Sané,sn SEN,"DF,MF",Bordeaux,1987,30.3,2,,5,,,0.17,,0.4,,,0,0,2011,French
Salif Sané,sn SEN,"DF,MF",Nancy,1990,29.9,2,,4,,,0.13,,0.5,,,0,0,2011,French
Younousse Sankharé,sn SEN,MF,Dijon,1989,30.5,4,,10,,,0.33,,0.4,,,0,0,2011,French
Yaya Sanogo,fr FRA,FW,Auxerre,1993,3.2,1,,8,,,2.54,,0.13,,,0,0,2011,French
David Sauget,fr FRA,DF,Sochaux,1979,33.9,0,,3,,,0.09,,0,,,0,0,2011,French
Vujadin Savić,rs SRB,DF,Bordeaux,1990,1,0,,0,,,0,,,,,0,0,2011,French
Rafael Schmitz,br BRA,DF,Valenciennes,1980,2,0,,0,,,0,,,,,0,0,2011,French
Prince Segbefia,tg TOG,MF,Auxerre,1991,10.8,0,,1,,,0.09,,0,,,0,0,2011,French
Grégory Sertic,fr FRA,MF,Bordeaux,1989,7,0,,4,,,0.58,,0,,,0,0,2011,French
Nicolas Seube,fr FRA,"DF,MF",Caen,1979,32.4,1,,4,,,0.12,,0.25,,,0,0,2011,French
Amadou Sidibé,ml MLI,"DF,MF",Auxerre,1986,8,0,,1,,,0.13,,0,,,0,0,2011,French
Marco da Silva,fr FRA,MF,Valenciennes,1992,0,0,,0,,,0,,,,,0,0,2011,French
Florent Sinama Pongolle,fr FRA,FW,Saint-Étienne,1984,14.3,4,,13,,,0.91,,0.23,,,1,1,2011,French
Pantxi Sirieix,fr FRA,MF,Toulouse,1980,13.3,2,,3,,,0.23,,0.67,,,0,0,2011,French
Salvatore Sirigu,it ITA,GK,Paris S-G,1987,38,0,,0,,,0,,,,,0,0,2011,French
Abdoul Sissoko,fr FRA,MF,Brest,1990,5.2,0,,0,,,0,,,,,0,0,2011,French
Mohamed Sissoko,ml MLI,MF,Paris S-G,1985,20.1,2,,4,,,0.2,,0.5,,,0,0,2011,French
Moussa Sissoko,fr FRA,MF,Toulouse,1989,32.1,2,,19,,,0.59,,0.05,,,1,2,2011,French
Richard Socrier,GPE,FW,Ajaccio,1979,11.8,2,,9,,,0.76,,0.22,,,0,0,2011,French
Jérémy Sorbon,fr FRA,DF,Caen,1983,28.8,0,,0,,,0,,,,,0,0,2011,French
Olivier Sorin,fr FRA,GK,Auxerre,1981,36,0,,0,,,0,,,,,0,0,2011,French
Olivier Sorlin,fr FRA,MF,Evian,1979,30.8,2,,3,,,0.1,,0.67,,,0,0,2011,French
Loïc Abenzoar,fr FRA,DF,Arles-Avignon,1989,8.1,0,,0,,,0,,,,,0,0,2010,French
Vincent Aboubakar,cm CMR,FW,Valenciennes,1992,5.8,1,,8,,,1.39,,0.13,,,0,0,2010,French
Fabrice Abriel,fr FRA,MF,Marseille,1979,6.6,0,,1,,,0.15,,0,,,0,0,2010,French
Adeílson,br BRA,FW,Nice,1985,0.2,0,,0,,,0,,,,,0,0,2010,French
Adriano,br BRA,DF,Monaco,1982,30.4,4,,6,,,0.2,,0.67,,,0,0,2010,French
Ali Ahamada,km COM,GK,Toulouse,1991,8.1,0,,0,,,0,,,,,0,0,2010,French
Karim Aït-Fana,ma MAR,"FW,MF",Montpellier,1989,11,0,,5,,,0.45,,0,,,0,0,2010,French
Kanga Akalé,ci CIV,"FW,MF",Lens,1981,19.9,3,,8,,,0.4,,0.38,,,0,0,2010,French
Rachid Aliaoui,fr FRA,MF,Arles-Avignon,1986,0.1,0,,0,,,0,,,,,0,0,2010,French
Paul Alo'o,cm CMR,FW,Nancy,1983,2.3,2,,4,,,1.74,,0.5,,,0,0,2010,French
Alejandro Alonso,ar ARG,MF,Monaco,1982,2.5,0,,1,,,0.39,,0,,,0,0,2010,French
Alejandro Alonso,ar ARG,MF,Saint-Étienne,1982,9.7,1,,5,,,0.52,,0,,,1,1,2010,French
Morgan Amalfitano,fr FRA,MF,Lorient,1985,37.9,5,,24,,,0.63,,0.17,,,1,1,2010,French
André,br BRA,FW,Bordeaux,1990,2,0,,1,,,0.5,,0,,,0,0,2010,French
Yoann Andreu,fr FRA,DF,Saint-Étienne,1989,0.1,0,,0,,,0,,,,,0,0,2010,French
Benjamin Angoua,ci CIV,DF,Valenciennes,1986,30.1,1,,3,,,0.1,,0.33,,,0,0,2010,French
Kévin Anin,fr FRA,MF,Sochaux,1986,20.8,0,,1,,,0.05,,0,,,0,0,2010,French
Youssef El-Arabi,ma MAR,FW,Caen,1987,36.3,17,,30,,,0.83,,0.53,,,1,1,2010,French
Romain Armand,fr FRA,"FW,MF",Montpellier,1987,0.2,0,,0,,,0,,,,,0,0,2010,French
Sylvain Armand,fr FRA,DF,Paris S-G,1980,31.1,2,,3,,,0.1,,0.67,,,0,0,2010,French
Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Saint-Étienne,1989,8.6,2,,11,,,1.28,,0.18,,,0,0,2010,French
Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Monaco,1989,16,2,,11,,,0.69,,0.18,,,0,0,2010,French
Fabien Audard,fr FRA,GK,Lorient,1978,28.1,0,,0,,,0,,,,,0,0,2010,French
Serge Aurier,ci CIV,"DF,MF",Lens,1992,22.3,0,,0,,,0,,,,,0,0,2010,French
Mathias Autret,fr FRA,MF,Lorient,1991,1,0,,0,,,0,,,,,0,0,2010,French
Thomas Ayasse,fr FRA,MF,Arles-Avignon,1987,18.7,0,,7,,,0.37,,0,,,0,0,2010,French
André Ayew,gh GHA,"FW,MF",Marseille,1989,31,10,,27,,,0.87,,0.37,,,0,0,2010,French
Jordan Ayew,gh GHA,"FW,MF",Marseille,1991,8.3,2,,5,,,0.61,,0.4,,,0,0,2010,French
Floyd Ayité,tg TOG,"FW,MF",Bordeaux,1988,1.3,0,,0,,,0,,,,,0,0,2010,French
Jonathan Ayité,tg TOG,FW,Brest,1985,9.7,4,,14,,,1.45,,0.21,,,1,1,2010,French
César Azpilicueta,es ESP,DF,Marseille,1989,11.2,0,,0,,,0,,,,,0,0,2010,French
Maxime Baca,fr FRA,DF,Lorient,1983,26.1,0,,2,,,0.08,,0,,,0,0,2010,French
Mamadou Bagayoko,ml MLI,FW,Nice,1979,1.6,0,,0,,,0,,,,,0,0,2010,French
Jean-Christophe Bahebeck,fr FRA,"FW,MF",Paris S-G,1993,2.7,0,,2,,,0.75,,0,,,0,0,2010,French
Cédric Bakambu,cd COD,FW,Sochaux,1991,1.6,0,,0,,,0,,,,,0,0,2010,French
Djamel Bakar,km COM,"FW,MF",Nancy,1989,10.7,1,,8,,,0.75,,0.13,,,0,0,2010,French
Bobo Baldé,gn GUI,DF,Arles-Avignon,1975,11.5,0,,0,,,0,,,,,0,0,2010,French
Bobo Baldé,gn GUI,DF,Valenciennes,1975,13,0,,2,,,0.15,,0,,,0,0,2010,French
Florent Balmont,fr FRA,MF,Lille,1980,22.9,0,,5,,,0.22,,0,,,0,0,2010,French
Habib Bamogo,bf BFA,FW,Nice,1982,3.1,1,,2,,,0.64,,0.5,,,0,1,2010,French
Ismaël Bangoura,gn GUI,FW,Rennes,1985,1.3,2,,3,,,2.29,,0.67,,,0,0,2010,French
Pablo Barzola,ar ARG,DF,Caen,1983,9.9,0,,1,,,0.1,,0,,,0,0,2010,French
Angelos Basinas,gr GRE,MF,Arles-Avignon,1976,2.3,0,,0,,,0,,,,,0,0,2010,French
Michel Bastos,br BRA,"DF,MF",Lyon,1983,20.5,5,,22,,,1.07,,0.23,,,0,1,2010,French
Laurent Batlles,fr FRA,MF,Saint-Étienne,1975,19.5,4,,14,,,0.72,,0.29,,,0,0,2010,French
Moustapha Bayal Sall,sn SEN,DF,Saint-Étienne,1985,18.9,0,,1,,,0.05,,0,,,0,0,2010,French
Paul Baysse,fr FRA,DF,Brest,1988,30,1,,1,,,0.03,,1,,,0,0,2010,French
Henri Bedimo,cm CMR,DF,Lens,1984,31.9,0,,3,,,0.09,,0,,,0,0,2010,French
Younès Belhanda,ma MAR,"FW,MF",Montpellier,1990,28.8,3,,16,,,0.56,,0.19,,,0,0,2010,French
David Bellion,fr FRA,FW,Bordeaux,1982,0.4,0,,0,,,0,,,,,0,0,2010,French
David Bellion,fr FRA,FW,Nice,1982,6.6,0,,2,,,0.3,,0,,,0,0,2010,French
Hatem Ben Arfa,fr FRA,"FW,MF",Marseille,1987,0.4,0,,0,,,0,,,,,0,0,2010,French
Fahid Ben Khalfallah,tn TUN,"FW,MF",Bordeaux,1982,24.1,1,,10,,,0.41,,0.1,,,0,0,2010,French
Fahid Ben Khalfallah,tn TUN,"FW,MF",Valenciennes,1982,2.1,0,,1,,,0.47,,0,,,0,0,2010,French
Chaouki Ben Saada,tn TUN,"FW,MF",Nice,1984,16.4,2,,12,,,0.73,,0.17,,,0,0,2010,French
Wissam Ben Yedder,fr FRA,"FW,MF",Toulouse,1990,0.9,0,,1,,,1.13,,0,,,0,0,2010,French
Yohan Benalouane,tn TUN,DF,Saint-Étienne,1987,0.8,0,,0,,,0,,,,,0,0,2010,French
Pascal Berenguer,fr FRA,MF,Nancy,1981,14.7,4,,12,,,0.82,,0.33,,,0,0,2010,French
Zakarya Bergdich,ma MAR,"DF,MF",Lens,1989,2,0,,0,,,0,,,,,0,0,2010,French
Gonzalo Bergessio,ar ARG,FW,Saint-Étienne,1984,6.4,0,,8,,,1.26,,0,,,0,0,2010,French
Franck Béria,fr FRA,DF,Lille,1983,25.4,1,,4,,,0.16,,0.25,,,0,0,2010,French
Jérémy Berthod,fr FRA,DF,Auxerre,1984,10.9,0,,2,,,0.18,,0,,,0,0,2010,French
Yoann Bigné,fr FRA,MF,Brest,1977,4.3,0,,0,,,0,,,,,0,0,2010,French
Valter Birsa,si SVN,"FW,MF",Auxerre,1986,23.6,5,,11,,,0.47,,0.36,,,1,1,2010,French
Milan Biševac,rs SRB,DF,Valenciennes,1983,31.1,2,,4,,,0.13,,0.25,,,1,1,2010,French
Garry Bocaly,fr FRA,DF,Montpellier,1988,26.8,3,,6,,,0.22,,0.5,,,0,0,2010,French
Carlos Bocanegra,us USA,DF,Saint-Étienne,1979,33.6,2,,6,,,0.18,,0.33,,,0,0,2010,French
Lilian Bochet,fr FRA,MF,Valenciennes,1991,0.1,0,,0,,,0,,,,,0,0,2010,French
Mathieu Bodmer,fr FRA,"DF,MF",Paris S-G,1982,19.5,5,,14,,,0.72,,0.29,,,1,1,2010,French
Willy Boly,fr FRA,DF,Auxerre,1991,8,1,,2,,,0.25,,0.5,,,0,0,2010,French
Gaëtan Bong,cm CMR,DF,Valenciennes,1988,21.3,1,,3,,,0.14,,0.33,,,0,0,2010,French
Laurent Bonnart,fr FRA,DF,Monaco,1979,23.5,0,,1,,,0.04,,0,,,0,0,2010,French
Thomas Bosmel,fr FRA,GK,Caen,1988,3,0,,0,,,0,,,,,0,0,2010,French
Hameur Bouazza,dz ALG,"FW,MF",Arles-Avignon,1985,3.9,1,,2,,,0.51,,0.5,,,0,0,2010,French
Ryad Boudebouz,dz ALG,"FW,MF",Sochaux,1990,35.9,8,,25,,,0.7,,0.2,,,3,3,2010,French
Razak Boukari,tg TOG,"FW,MF",Rennes,1987,16.9,4,,12,,,0.71,,0.25,,,1,1,2010,French
Razak Boukari,tg TOG,"FW,MF",Lens,1987,14.9,3,,12,,,0.81,,0.25,,,0,0,2010,French
Maxime Bourgeois,fr FRA,FW,Auxerre,1991,0.5,0,,0,,,0,,,,,0,0,2010,French
Grégory Bourillon,fr FRA,"DF,MF",Lorient,1984,30.3,0,,2,,,0.07,,0,,,0,0,2010,French
John Boye,gh GHA,DF,Rennes,1987,7.6,0,,0,,,0,,,,,0,0,2010,French
Daniel Braaten,no NOR,"FW,MF",Toulouse,1982,24.5,5,,18,,,0.74,,0.28,,,0,0,2010,French
Gennaro Bracigliano,fr FRA,GK,Nancy,1980,7,0,,0,,,0,,,,,0,0,2010,French
Yacine Brahimi,dz ALG,"FW,MF",Rennes,1990,13.5,4,,12,,,0.89,,0.33,,,0,0,2010,French
Brandão,br BRA,FW,Marseille,1980,11.6,1,,10,,,0.86,,0.1,,,0,0,2010,French
Jérémie Bréchet,fr FRA,"DF,MF",Sochaux,1979,20,0,,2,,,0.1,,0,,,0,0,2010,French
Jimmy Briand,fr FRA,"FW,MF",Lyon,1985,23.3,6,,17,,,0.73,,0.35,,,0,0,2010,French
Jonathan Brison,fr FRA,"DF,MF",Nancy,1983,28.1,0,,12,,,0.43,,0,,,0,0,2010,French
Moïse Brou Apanga,ga GAB,DF,Brest,1982,28.8,0,,2,,,0.07,,0,,,0,0,2010,French
Frédéric Bulot,ga GAB,MF,Monaco,1990,3.5,0,,1,,,0.29,,0,,,0,0,2010,French
Édouard Butin,fr FRA,FW,Sochaux,1988,5.7,2,,4,,,0.7,,0.5,,,0,0,2010,French
Yohan Cabaye,fr FRA,MF,Lille,1986,34.2,2,,26,,,0.76,,0.08,,,0,2,2010,French
Rémy Cabella,fr FRA,"FW,MF",Arles-Avignon,1990,7.6,3,,5,,,0.66,,0.6,,,0,0,2010,French
Abdoul Camara,gn GUI,"FW,MF",Rennes,1990,8.6,0,,2,,,0.23,,0,,,0,0,2010,French
Souleymane Camara,sn SEN,FW,Montpellier,1982,27.5,4,,18,,,0.66,,0.22,,,0,0,2010,French
Zoumana Camara,fr FRA,"DF,GK",Paris S-G,1979,15.3,2,,4,,,0.26,,0.5,,,0,0,2010,French
Alain Cantareil,fr FRA,DF,Nice,1983,1.1,0,,0,,,0,,,,,0,0,2010,French
Étienne Capoue,fr FRA,MF,Toulouse,1988,37,2,,7,,,0.19,,0.29,,,0,0,2010,French
Lionel Cappone,fr FRA,GK,Lorient,1979,9.3,0,,0,,,0,,,,,0,0,2010,French
Carlão,br BRA,"DF,MF",Sochaux,1986,19,1,,3,,,0.16,,0.33,,,0,0,2010,French
Cédric Carrasso,fr FRA,GK,Bordeaux,1981,34.4,0,,0,,,0,,,,,0,0,2010,French
Johann Carrasso,fr FRA,GK,Rennes,1988,1,0,,0,,,0,,,,,0,0,2010,French
Fernando Cavenaghi,ar ARG,FW,Bordeaux,1983,1.8,0,,0,,,0,,,,,0,0,2010,French
Ceará,br BRA,"DF,GK",Paris S-G,1980,13.8,0,,0,,,0,,,,,0,0,2010,French
Mauro Cetto,ar ARG,DF,Toulouse,1982,24,4,,8,,,0.33,,0.5,,,0,0,2010,French
Sébastien Chabbert,fr FRA,GK,Monaco,1978,4.9,0,,0,,,0,,,,,0,0,2010,French
Kamel Chafni,ma MAR,MF,Auxerre,1982,15.4,1,,5,,,0.32,,0.2,,,0,0,2010,French
Aatif Chahechouhe,ma MAR,MF,Nancy,1986,1.8,0,,0,,,0,,,,,0,0,2010,French
Matthieu Chalmé,fr FRA,DF,Bordeaux,1980,18.2,0,,0,,,0,,,,,0,0,2010,French
Clément Chantôme,fr FRA,MF,Paris S-G,1987,25.4,2,,9,,,0.35,,0.22,,,0,0,2010,French
Angelos Charisteas,gr GRE,FW,Arles-Avignon,1980,3.6,0,,1,,,0.28,,0,,,0,0,2010,French
Aurélien Chedjou,cm CMR,DF,Lille,1985,30.4,1,,2,,,0.07,,0.5,,,0,0,2010,French
Éric Chelle,ml MLI,DF,Lens,1977,14.6,0,,0,,,0,,,,,0,0,2010,French
Evan Chevalier,fr FRA,MF,Bordeaux,1992,0.2,0,,0,,,0,,,,,0,0,2010,French
Benoît Cheyrou,fr FRA,MF,Marseille,1981,27.4,3,,15,,,0.55,,0.2,,,0,0,2010,French
Michaël Chrétien,ma MAR,DF,Nancy,1984,24,0,,1,,,0.04,,0,,,0,0,2010,French
Park Chu-young,kr KOR,"FW,MF",Monaco,1985,31.6,12,,28,,,0.89,,0.29,,,4,5,2010,French
Michaël Ciani,fr FRA,DF,Bordeaux,1984,26.9,3,,9,,,0.33,,0.33,,,0,0,2010,French
Édouard Cissé,fr FRA,MF,Marseille,1978,19.4,0,,0,,,0,,,,,0,0,2010,French
Aly Cissokho,fr FRA,DF,Lyon,1987,27.9,1,,4,,,0.14,,0.25,,,0,0,2010,French
Renato Civelli,ar ARG,DF,Nice,1983,30.3,3,,6,,,0.2,,0.5,,,0,0,2010,French
Jérémy Clément,fr FRA,MF,Paris S-G,1984,10.7,0,,1,,,0.09,,0,,,0,0,2010,French
François Clerc,fr FRA,DF,Nice,1983,28.8,1,,5,,,0.17,,0.2,,,0,0,2010,French
Alexandre Coeff,fr FRA,"DF,MF",Lens,1992,0.3,0,,0,,,0,,,,,0,0,2010,French
Renaud Cohade,fr FRA,MF,Valenciennes,1984,27,0,,13,,,0.48,,0,,,0,0,2010,French
Xavier Collin,fr FRA,DF,Montpellier,1974,1.9,0,,0,,,0,,,,,0,0,2010,French
Daniel Congré,fr FRA,DF,Toulouse,1985,37,2,,3,,,0.08,,0.67,,,0,0,2010,French
Roy Contout,fr FRA,FW,Auxerre,1985,24.3,3,,13,,,0.53,,0.23,,,0,0,2010,French
Francis Coquelin,fr FRA,"DF,MF",Lorient,1991,13.1,1,,1,,,0.08,,1,,,0,0,2010,French
Emmanuel Corrèze,fr FRA,"DF,MF",Arles-Avignon,1982,4.4,0,,0,,,0,,,,,0,0,2010,French
Adama Coulibaly,ml MLI,"DF,MF",Auxerre,1980,38,0,,2,,,0.05,,0,,,0,0,2010,French
Kafoumba Coulibaly,ci CIV,MF,Nice,1985,32.6,1,,7,,,0.21,,0.14,,,0,0,2010,French
Ousmane Coulibaly,ml MLI,DF,Brest,1989,4.4,0,,0,,,0,,,,,0,0,2010,French
Grégory Coupet,fr FRA,GK,Paris S-G,1972,14.4,0,,0,,,0,,,,,0,0,2010,French
Mathieu Coutadeur,fr FRA,MF,Monaco,1986,10.7,1,,4,,,0.37,,0.25,,,0,0,2010,French
Cris,br BRA,DF,Lyon,1977,19.8,1,,3,,,0.15,,0.33,,,0,0,2010,French
Pierrick Cros,fr FRA,GK,Sochaux,1991,13,0,,0,,,0,,,,,0,0,2010,French
Alexandre Cuvillier,fr FRA,"FW,MF",Nancy,1986,18.2,2,,14,,,0.77,,0.14,,,0,0,2010,French
Omar Daf,sn SEN,DF,Brest,1977,26.7,0,,1,,,0.04,,0,,,0,0,2010,French
Stéphane Dalmat,fr FRA,MF,Rennes,1979,27.3,2,,12,,,0.44,,0.17,,,0,0,2010,French
Gaël Danic,fr FRA,MF,Valenciennes,1981,29.2,9,,25,,,0.86,,0.36,,,0,0,2010,French
Romain Danzé,fr FRA,"DF,MF",Rennes,1986,37.4,1,,3,,,0.08,,0.33,,,0,0,2010,French
Filippos Darlas,gr GRE,DF,Brest,1983,1.8,0,,0,,,0,,,,,0,0,2010,French
Mathieu Debuchy,fr FRA,DF,Lille,1985,33.9,2,,5,,,0.15,,0.2,,,1,1,2010,French
César Delgado,ar ARG,"FW,MF",Lyon,1981,9.7,1,,7,,,0.72,,0.14,,,0,0,2010,French
Yohan Demont,fr FRA,"DF,MF",Lens,1978,30.5,1,,9,,,0.3,,0.11,,,0,0,2010,French
Geoffrey Dernis,fr FRA,"FW,MF",Montpellier,1980,13.8,1,,11,,,0.8,,0.09,,,0,0,2010,French
Anthony Deroin,fr FRA,MF,Caen,1979,0.7,0,,0,,,0,,,,,0,0,2010,French
Antoine Devaux,fr FRA,"DF,MF",Toulouse,1985,22.3,1,,5,,,0.22,,0.2,,,0,0,2010,French
Cheick Diabaté,ml MLI,FW,Bordeaux,1988,8.1,4,,11,,,1.35,,0.27,,,1,1,2010,French
Pape Diakhaté,sn SEN,DF,Lyon,1984,23.6,1,,1,,,0.04,,1,,,0,0,2010,French
Drissa Diakité,ml MLI,"DF,MF",Nice,1985,22.6,0,,0,,,0,,,,,0,0,2010,French
Samba Diakité,ml MLI,MF,Nancy,1989,17.4,0,,10,,,0.57,,0,,,0,0,2010,French
Alou Diarra,fr FRA,MF,Bordeaux,1981,31.1,4,,11,,,0.35,,0.36,,,0,0,2010,French
Mahamadou Diarra,ml MLI,MF,Monaco,1981,9,0,,0,,,0,,,,,0,0,2010,French
Sigamary Diarra,ml MLI,"FW,MF",Lorient,1984,27.6,3,,15,,,0.54,,0.2,,,0,0,2010,French
Rafaël Dias,fr FRA,MF,Sochaux,1991,0.3,0,,0,,,0,,,,,0,0,2010,French
Kaba Diawara,gn GUI,FW,Arles-Avignon,1975,10.5,3,,7,,,0.67,,0.29,,,1,1,2010,French
Souleymane Diawara,sn SEN,DF,Marseille,1978,26.5,0,,1,,,0.04,,0,,,0,0,2010,French
Étienne Didot,fr FRA,MF,Toulouse,1983,33.4,2,,10,,,0.3,,0.2,,,0,0,2010,French
Didier Digard,fr FRA,MF,Nice,1986,21.2,0,,6,,,0.28,,0,,,0,0,2010,French
Franck Dja Djédjé,ci CIV,"FW,MF",Arles-Avignon,1986,27.4,4,,22,,,0.8,,0.18,,,0,0,2010,French
Eduardo dos Santos,br BRA,FW,Lens,1980,22.9,4,,15,,,0.65,,0.27,,,0,0,2010,French
Mathieu Dossevi,tg TOG,"FW,MF",Valenciennes,1988,16.9,2,,10,,,0.59,,0.2,,,0,0,2010,French
Nicolas Douchez,fr FRA,GK,Rennes,1980,36.8,0,,0,,,0,,,,,0,0,2010,French
Cheick Doukouré,ci CIV,MF,Lorient,1992,1.7,0,,0,,,0,,,,,0,0,2010,French
Tongo Doumbia,ml MLI,MF,Rennes,1989,10.3,0,,1,,,0.1,,0,,,0,0,2010,French
Boukary Dramé,sn SEN,"DF,MF",Sochaux,1985,24,2,,8,,,0.33,,0.25,,,0,0,2010,French
Matthieu Dreyer,fr FRA,GK,Sochaux,1989,10.5,0,,0,,,0,,,,,0,0,2010,French
Sebastián Dubarbier,ar ARG,"DF,FW",Lorient,1986,1.5,0,,0,,,0,,,,,0,0,2010,French
Pierre Ducasse,fr FRA,MF,Bordeaux,1987,4.2,0,,1,,,0.24,,0,,,0,0,2010,French
David Ducourtioux,fr FRA,"DF,MF",Valenciennes,1978,33.3,2,,6,,,0.18,,0.33,,,0,0,2010,French
Dariusz Dudka,pl POL,"DF,MF",Auxerre,1983,28.7,3,,7,,,0.24,,0.29,,,1,1,2010,French
Stéphane Dumont,fr FRA,MF,Lille,1982,1.6,0,,0,,,0,,,,,0,0,2010,French
Nenad Džodić,rs SRB,"DF,MF",Montpellier,1977,2.4,0,,0,,,0,,,,,0,0,2010,French
Albin Ebondo,fr FRA,DF,Saint-Étienne,1984,29.2,1,,3,,,0.1,,0.33,,,0,0,2010,French
Bruno Ecuele Manga,ga GAB,DF,Lorient,1988,31,1,,2,,,0.06,,0.5,,,0,0,2010,French
Apoula Edel,am ARM,GK,Paris S-G,1986,23.6,0,,0,,,0,,,,,0,0,2010,French
Ederson,br BRA,MF,Lyon,1986,4.7,2,,5,,,1.06,,0.4,,,0,1,2010,French
Steeve Elana,gn GUI,GK,Brest,1980,38,0,,0,,,0,,,,,0,0,2010,French
Rémi Elissalde,fr FRA,MF,Bordeaux,1991,0,0,,0,,,0,,,,,0,0,2010,French
Emerson,br BRA,DF,Lille,1986,17.2,0,,2,,,0.12,,0,,,0,0,2010,French
Amin Erbati,ma MAR,"DF,MF",Arles-Avignon,1981,7.6,0,,2,,,0.26,,0,,,0,0,2010,French
Mevlüt Erdinç,tr TUR,FW,Paris S-G,1987,25.8,8,,34,,,1.32,,0.24,,,0,0,2010,French
Marco Estrada,cl CHI,"DF,MF",Montpellier,1983,24.1,3,,21,,,0.87,,0.14,,,0,0,2010,French
Oscar Ewolo,cg CGO,"DF,MF",Brest,1978,31.8,0,,2,,,0.06,,0,,,0,0,2010,French
Emerse Faé,ci CIV,MF,Nice,1984,23.3,3,,10,,,0.43,,0.2,,,1,1,2010,French
James Fanchone,fr FRA,"FW,MF",Lorient,1980,2.2,0,,2,,,0.93,,0,,,0,0,2010,French
Jean-Alain Fanchone,fr FRA,DF,Arles-Avignon,1988,15.8,0,,0,,,0,,,,,0,0,2010,French
Rod Fanni,fr FRA,DF,Marseille,1981,18.2,0,,0,,,0,,,,,0,0,2010,French
Rod Fanni,fr FRA,DF,Rennes,1981,10.4,0,,0,,,0,,,,,0,0,2010,French
Jacques Faty,sn SEN,DF,Sochaux,1985,21,1,,1,,,0.05,,1,,,0,0,2010,French
Pascal Feindouno,gn GUI,"FW,MF",Monaco,1981,2.5,0,,4,,,1.6,,0,,,0,0,2010,French
Julien Féret,fr FRA,MF,Nancy,1982,34.1,6,,23,,,0.67,,0.26,,,0,0,2010,French
Brahim Ferradj,dz ALG,"DF,MF",Brest,1987,21.1,1,,2,,,0.09,,0.5,,,0,0,2010,French
Mohamed Fofana,ml MLI,DF,Toulouse,1985,20.9,0,,0,,,0,,,,,0,0,2010,French
Pierre-Alain Frau,fr FRA,"FW,MF",Lille,1980,10.4,5,,18,,,1.73,,0.28,,,0,0,2010,French
Ismaël Gace,fr FRA,DF,Nice,1986,12.7,1,,2,,,0.16,,0.5,,,0,0,2010,French
Serge Gakpé,tg TOG,"FW,MF",Monaco,1987,3.8,0,,4,,,1.06,,0,,,0,0,2010,French
Kévin Gameiro,fr FRA,FW,Lorient,1987,35.8,22,,64,,,1.79,,0.31,,,2,2,2010,French
Idrissa Gana Gueye,sn SEN,MF,Lille,1989,4,0,,3,,,0.74,,0,,,0,0,2010,French
Lamine Gassama,sn SEN,DF,Lyon,1989,3.1,0,,0,,,0,,,,,0,0,2010,French
Benjamin Gavanon,fr FRA,MF,Nancy,1980,14.9,0,,5,,,0.34,,0,,,0,0,2010,French
Wendel Geraldo,br BRA,MF,Bordeaux,1982,23.7,3,,21,,,0.89,,0.14,,,0,0,2010,French
Valère Germain,fr FRA,FW,Monaco,1990,0.6,0,,1,,,1.73,,0,,,0,0,2010,French
Gaël Germany,,"DF,MF",Arles-Avignon,1983,17,1,,3,,,0.18,,0.33,,,0,0,2010,French
Gervinho,ci CIV,"FW,MF",Lille,1987,31.6,15,,43,,,1.36,,0.35,,,0,0,2010,French
Kamel Ghilas,dz ALG,FW,Arles-Avignon,1984,10.5,2,,4,,,0.38,,0.5,,,0,0,2010,French
Faouzi Ghoulam,dz ALG,DF,Saint-Étienne,1991,10.1,0,,1,,,0.1,,0,,,0,0,2010,French
André-Pierre Gignac,fr FRA,"FW,MF",Marseille,1985,21.7,8,,35,,,1.61,,0.23,,,0,0,2010,French
André-Pierre Gignac,fr FRA,"FW,MF",Toulouse,1985,0.8,0,,1,,,1.18,,0,,,0,0,2010,French
Olivier Giroud,fr FRA,FW,Montpellier,1986,32.3,12,,36,,,1.11,,0.25,,,3,3,2010,French
Ludovic Giuly,fr FRA,"FW,MF",Paris S-G,1976,25.9,4,,22,,,0.85,,0.18,,,0,0,2010,French
Guy Gnabouyou,fr FRA,FW,Marseille,1989,0.2,0,,0,,,0,,,,,0,0,2010,French
